"","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","L4","L"
"T1",0,2,2,4,1,3,3,3,5,3,5,6,1,3,3,3,1,1,4,3,3,3,4,5,3,1,1,2,3,5,4,4,7,4,6,6,6,6,4,7,8,7,8,7,8,4,6,5,5,6,7,5,7,6,7,8,8,8,4,2
"T2",2,0,1,2,3,5,2,1,4,2,3,5,3,2,1,1,3,3,3,1,2,2,2,3,1,4,3,5,1,3,2,2,5,2,4,4,4,4,6,5,6,5,6,5,6,2,4,3,4,5,6,4,5,4,5,6,6,6,6,4
"T3",2,1,0,3,3,5,1,1,3,1,3,5,3,1,1,1,3,3,2,1,2,1,2,3,1,3,3,4,1,4,3,2,5,3,4,4,4,5,6,5,6,5,6,5,6,2,5,3,4,4,5,3,5,4,5,6,6,6,6,4
"T4",4,2,3,0,5,7,4,3,6,4,5,7,5,4,3,3,5,5,5,3,4,4,4,5,3,6,5,7,3,1,4,4,7,4,6,6,6,6,8,7,8,7,8,7,8,4,2,5,6,7,8,6,3,6,7,8,8,8,6,6
"T5",1,3,3,5,0,4,4,4,6,4,6,7,2,4,4,4,2,2,5,4,4,4,5,6,4,2,2,3,4,6,5,5,8,5,7,7,7,7,5,8,9,8,9,8,9,5,7,6,6,7,8,6,8,7,8,9,9,9,5,3
"T6",3,5,5,7,4,0,6,6,8,6,4,3,4,6,6,6,4,4,7,6,6,6,5,4,6,4,4,5,6,8,7,7,4,7,9,9,9,9,7,10,11,10,11,10,11,6,8,7,7,8,9,7,9,8,9,10,10,10,6,4
"T7",3,2,1,4,4,6,0,2,4,2,4,6,4,2,2,2,4,4,3,2,3,2,3,4,2,4,4,5,2,5,4,3,6,4,5,5,5,6,7,6,7,6,7,6,7,3,6,4,5,5,4,4,6,5,6,7,7,7,7,5
"T8",3,1,1,3,4,6,2,0,2,2,4,5,4,2,2,2,4,4,3,2,2,2,3,4,2,4,4,5,2,4,3,3,6,3,5,5,5,5,7,6,7,6,7,6,7,3,5,4,4,5,6,4,6,5,6,7,7,7,7,5
"T9",5,4,3,6,6,8,4,2,0,4,6,8,6,4,4,4,6,6,3,4,5,4,3,4,4,6,6,5,4,7,6,5,8,6,7,7,7,8,9,8,9,8,9,8,9,5,8,6,7,7,6,4,8,7,6,9,9,9,9,7
"T10",3,2,1,4,4,6,2,2,4,0,4,6,4,2,2,2,4,4,3,2,3,2,3,4,2,4,4,5,2,5,4,3,6,4,5,5,5,6,7,6,7,6,7,6,7,3,6,4,5,5,6,4,6,5,6,7,7,7,7,5
