mt,deposits_present,vegetated,above_forest_line,ssg_helophytes,ssg_trees,ssg_removed
MA01,1,1,1,0,0,0
MA02,1,1,1,0,0,0
MA03,1,1,1,0,0,0
MA04,1,1,1,0,0,0
MA05,1,1,1,0,0,0
MA06,1,1,1,0,0,0
MB01,1,1,1,0,0,0
MB02,1,1,1,0,0,0
MB03,1,1,1,0,0,0
MC01,1,1,1,0,0,0
MC02,1,1,1,0,0,0
MC03,1,1,1,0,0,0
MC04,1,1,1,0,0,0
MC05,1,1,1,0,0,0
MC06,1,1,1,0,0,0
MC07,1,1,1,0,0,0
MC08,1,1,1,0,0,0
MC09,1,1,1,0,0,0
MC10,1,1,1,0,0,0
MF01,1,1,1,0,0,0
MJ01,1,1,1,0,0,0
MM01,1,1,1,0,0,0
MM02,1,1,1,0,0,0
LA01,1,1,1,0,0,0
LA02,1,1,1,0,0,0
LA03,1,1,1,0,0,0
LB01,1,1,1,0,0,0
LB02,1,1,1,0,0,0
LC01,1,1,1,0,0,0
LC02,1,1,1,0,0,0
LC03,1,1,1,0,0,0
LC04,1,1,1,0,0,0
LC05,1,1,1,0,0,0
LC06,1,1,1,0,0,0
LG01,1,1,1,0,0,0
LK01,1,1,1,0,0,0
LM01,1,1,1,0,0,0
LM02,1,1,1,0,0,0
LM03,1,1,1,0,0,0
LM04,1,1,1,0,0,0
LM05,1,1,1,0,0,0
OA01,1,1,1,0,0,0
OA02,1,1,1,0,0,0
OB01,1,1,1,0,0,0
OC01,1,1,1,0,0,0
OC02,1,1,1,0,0,0
OC03,1,1,1,0,0,0
OG01,1,1,1,0,0,0
OM01,1,1,1,0,0,0
OM02,1,1,1,0,0,0
TA01,0,0,0,0,0,0
TA02,1,1,0,0,0,0
TA03,1,1,1,0,0,0
TA04,1,1,1,0,0,0
TB01,1,1,0,0,1,0
TC01,0,0,NA,0,0,0
TC02,0,0,NA,0,0,0
TC03,1,0,NA,0,0,0
TC04,1,1,NA,0,0,0
TC05,1,1,NA,0,0,0
TC06,1,1,NA,0,0,0
TC07,1,1,NA,0,0,0
TC08,1,1,1,0,0,0
TD01,1,0,NA,0,0,0
TD02,1,0,NA,0,0,0
TD03,1,1,NA,0,0,0
TD04,1,1,NA,0,0,0
TD05,1,1,NA,0,0,0
TD06,1,1,1,0,0,0
TE01,1,1,NA,0,0,0
TE02,1,0,NA,0,0,0
TE03,1,1,NA,0,0,0
TE04,1,1,NA,0,0,0
TE05,1,1,NA,0,0,0
TE06,1,1,NA,0,0,0
TE07,1,1,NA,0,0,0
TE08,1,1,NA,0,0,0
TE09,1,1,NA,0,0,0
TF01,1,1,0,0,1,0
TF02,1,1,0,0,1,0
TG01,1,0,NA,0,0,0
TH01,1,1,0,0,0,1
TI01,1,1,0,0,1,0
TK01,1,1,NA,0,0,0
TK02,1,1,NA,0,0,0
TK03,1,1,0,0,0,0
TL01,1,1,NA,0,0,0
TM01,0,0,NA,0,0,0
TM02,1,0,NA,0,0,0
TM03,1,0,NA,0,0,0
TM04,1,0,NA,0,0,0
TM05,1,0,NA,0,0,0
TM06,1,1,0,0,1,0
TN01,1,1,NA,0,0,0
TN02,1,1,NA,0,0,0
TN03,1,1,NA,0,0,0
TO01,1,1,NA,0,0,0
TO02,1,1,NA,0,0,0
TO03,1,1,NA,0,0,0
TO04,1,1,NA,0,0,0
VA01,1,1,NA,0,0,0
VB01,1,1,0,0,1,0
VC01,1,1,NA,0,0,0
VC02,1,1,NA,0,0,0
VC03,1,1,NA,0,0,0
VC04,1,1,1,0,0,0
VC05,1,1,1,0,0,0
VE01,1,1,1,0,0,0
VF01,1,1,0,0,1,0
VF02,1,1,0,0,1,0
VG01,1,1,NA,0,0,0
VG02,1,1,NA,0,0,0
VI01,1,1,0,0,1,0
VK01,1,1,NA,0,0,0
VK02,1,1,NA,0,0,0
VM01,1,1,NA,0,0,0
VM02,1,1,NA,0,0,0
VM03,1,1,NA,0,0,0
VM04,1,1,NA,0,0,0
VM05,1,1,NA,0,0,0
VM06,1,1,NA,0,0,0
VO01,1,1,NA,0,0,0
IA01,0,0,1,0,0,0
